Date, Time, Ax, Ay, Az, Gx, Gy, Gz
2025-02-01, 10:28:84:02,-0.163,0.939,-0.304,-0.061,0.244,0
2025-02-01, 10:28:84:53,-0.164,0.939,-0.305,-0.061,0.305,0
2025-02-01, 10:28:85:04,-0.165,0.939,-0.304,0,0.305,0.061
2025-02-01, 10:28:85:55,-0.164,0.939,-0.305,0.061,0.366,0.061
2025-02-01, 10:28:86:06,-0.164,0.938,-0.305,0.061,0.305,0.061
2025-02-01, 10:28:86:56,-0.164,0.939,-0.305,0,0.305,0.061
2025-02-01, 10:28:87:07,-0.163,0.939,-0.305,0.061,0.305,0.061
2025-02-01, 10:28:87:58,-0.163,0.939,-0.306,0.122,0.305,0.061
2025-02-01, 10:28:88:08,-0.164,0.939,-0.306,0.061,0.305,0
2025-02-01, 10:28:88:59,-0.164,0.939,-0.306,-0.061,0.244,0.061
2025-02-01, 10:28:89:10,-0.165,0.939,-0.306,0.061,0.305,0.061
2025-02-01, 10:28:89:60,-0.163,0.938,-0.307,0,0.244,0
2025-02-01, 10:29:30:11,-0.163,0.938,-0.306,0.122,0.305,0.061
2025-02-01, 10:29:30:62,-0.164,0.938,-0.307,0,0.305,0.061
2025-02-01, 10:29:31:13,-0.163,0.938,-0.307,0.061,0.366,0.061
2025-02-01, 10:29:31:63,-0.163,0.938,-0.308,0,0.305,0.061
2025-02-01, 10:29:32:14,-0.164,0.938,-0.307,0.122,0.305,0
2025-02-01, 10:29:32:65,-0.163,0.907,-0.309,0,0.305,0.061
2025-02-01, 10:29:33:16,-0.163,0.938,-0.308,0,0.305,0.061
2025-02-01, 10:29:33:66,-0.163,0.937,-0.31,0.427,0.366,0.061
2025-02-01, 10:29:34:18,-0.162,0.938,-0.312,-0.183,0.244,0
2025-02-01, 10:29:34:68,-0.163,0.937,-0.311,0,0.305,0.061
2025-02-01, 10:29:35:19,-0.162,0.937,-0.311,0.061,0.366,0.061
2025-02-01, 10:29:35:70,-0.163,0.937,-0.312,0.366,0.366,0.061
2025-02-01, 10:29:36:21,-0.162,0.937,-0.312,0.122,0.305,0.061
2025-02-01, 10:29:36:72,-0.161,0.936,-0.312,0.061,0.305,0
2025-02-01, 10:29:37:23,-0.161,0.935,-0.316,0.488,0.427,0
2025-02-01, 10:29:37:74,-0.162,0.935,-0.315,0.916,0.549,0.122
2025-02-01, 10:29:38:25,-0.16,0.935,-0.323,4.761,1.77,0.61
2025-02-01, 10:29:38:76,-0.16,0.936,-0.333,0.305,0.488,0.183
2025-02-01, 10:29:39:27,-0.157,0.932,-0.338,2.075,0.916,0.244
2025-02-01, 10:29:39:78,-0.157,0.93,-0.334,0.183,0.366,0.061
2025-02-01, 10:29:40:29,-0.156,0.931,-0.335,0.488,0.427,0
2025-02-01, 10:29:40:80,-0.156,0.93,-0.337,0.305,0.427,0.061
2025-02-01, 10:29:41:31,-0.155,0.928,-0.337,0,0.244,0.061
2025-02-01, 10:29:41:82,-0.156,0.929,-0.337,0.061,0.305,0.061
2025-02-01, 10:29:42:33,-0.156,0.929,-0.338,-0.061,0.305,0
2025-02-01, 10:29:42:84,-0.156,0.929,-0.338,0.061,0.305,0.061
2025-02-01, 10:29:43:35,-0.155,0.929,-0.339,0.061,0.305,0.061
2025-02-01, 10:29:43:86,-0.156,0.929,-0.339,0,0.305,0.061
2025-02-01, 10:29:44:37,-0.156,0.928,-0.339,0.061,0.305,0
2025-02-01, 10:29:44:88,-0.156,0.928,-0.34,0.061,0.305,0
2025-02-01, 10:29:45:39,-0.154,0.928,-0.34,0,0.305,0.061
2025-02-01, 10:29:45:90,-0.156,0.928,-0.339,0.122,0.305,0.061
2025-02-01, 10:29:46:41,-0.155,0.928,-0.34,0.122,0.305,0.061
2025-02-01, 10:29:46:92,-0.155,0.928,-0.341,0,0.244,0.061
2025-02-01, 10:29:47:43,-0.156,0.927,-0.34,0.305,0.305,0.122
2025-02-01, 10:29:47:94,-0.155,0.928,-0.344,0.061,0.305,0
2025-02-01, 10:29:48:45,-0.155,0.926,-0.342,0.61,0.427,0.122
2025-02-01, 10:29:48:96,-0.155,0.927,-0.344,0.244,0.366,0.061
2025-02-01, 10:29:49:46,-0.155,0.927,-0.344,0.305,0.366,0.061
2025-02-01, 10:29:49:97,-0.154,0.926,-0.344,0,0.305,0
2025-02-01, 10:29:50:48,-0.153,0.927,-0.345,0.122,0.305,0.061
2025-02-01, 10:29:50:99,-0.154,0.926,-0.346,0.122,0.305,0
2025-02-01, 10:29:51:50,-0.155,0.927,-0.346,0.122,0.305,0.061
2025-02-01, 10:29:52:01,-0.153,0.925,-0.346,0.061,0.305,0
2025-02-01, 10:29:52:52,-0.154,0.925,-0.347,0.122,0.305,0
2025-02-01, 10:29:53:03,-0.154,0.926,-0.347,0.122,0.305,0.061
2025-02-01, 10:29:53:54,-0.154,0.925,-0.347,0,0.305,0.061
2025-02-01, 10:29:54:05,-0.153,0.925,-0.349,0.061,0.305,0
2025-02-01, 10:29:54:56,-0.153,0.925,-0.349,0,0.305,0
2025-02-01, 10:29:55:07,-0.153,0.923,-0.352,-0.122,0.305,0
2025-02-01, 10:29:55:57,-0.153,0.924,-0.352,0,0.305,0.061
2025-02-01, 10:29:56:08,-0.154,0.924,-0.351,0.122,0.305,0.061
2025-02-01, 10:29:56:59,-0.153,0.924,-0.352,0.122,0.305,0.061
2025-02-01, 10:29:57:10,-0.154,0.924,-0.352,-0.122,0.244,0
